10TACLE Studios
1C Company
20th Century Fox Video Games
2D Boy
3DO
49Games
505 Games
5pb
7G//AMES
989 Sports
989 Studios
AQ Interactive
ASC Games
ASCII Entertainment
ASCII Media Works
ASK
Abylight
Acclaim Entertainment
Accolade
Ackkstudios
Acquire
Activision
Activision Blizzard
Activision Value
Adeline Software
Aerosoft
Agatsuma Entertainment
Agetec
Aksys Games
Alawar Entertainment
Alchemist
Alternative Software
Altron
Alvion
American Softworks
Angel Studios
Answer Software
Aqua Plus
Aques
Arc System Works
Arena Entertainment
Aria
Arika
ArtDink
Aruze Corp
Ascaron Entertainment
Ascaron Entertainment GmbH
Asgard
Asmik Ace Entertainment
Asmik Corp
Aspyr
Astragon
Asylum Entertainment
Atari
Athena
Atlus
Avalon Interactive
Avanquest
Avanquest Software
Axela
BAM! Entertainment
BMG Interactive Entertainment
BPS
Banpresto
Benesse
Berkeley
Bethesda Softworks
Big Ben Interactive
Big Fish Games
Bigben Interactive
Black Bean Games
Black Label Games
Blast! Entertainment Ltd
Blue Byte
Bohemia Interactive
Bomb
Boost On
Brash Entertainment
Broccoli
BushiRoad
CBS Electronics
CCP
CDV Software Entertainment
CPG Products
CTO SpA
Capcom
Cave
ChunSoft
City Interactive
Cloud Imperium Games Corporation
Coconuts Japan
Codemasters
Codemasters Online
CokeM Interactive
Coleco
Comfort
Commseed
Compile
Compile Heart
Conspiracy Entertainment
Core Design Ltd.
Crave Entertainment
Creative Core
Crimson Cow
Crystal Dynamics
Culture Brain
Culture Publishers
CyberFront
Cygames
D3Publisher
DHM Interactive
DSI Games
DTP Entertainment
Daedalic
Daedalic Entertainment
Daito
Data Age
Data Design Interactive
Data East
Datam Polystar
Deep Silver
"Destination Software, Inc"
Destineer
Detn8 Games
Devolver Digital
DigiCube
Disney Interactive Studios
Dorart
DreamCatcher Interactive
DreamWorks Interactive
Dusenberry Martin Racing
EA Games
EON Digital Entertainment
ESP
Easy Interactive
Ecole
Edia
Eidos Interactive
Electronic Arts
Electronic Arts Victor
Elf
Elite
Empire Interactive
Encore
Enix Corporation
Enjoy Gaming ltd.
Enterbrain
Epic Games
Epoch
Ertain
Essential Games
Evolution Games
Evolved Games
Excalibur Publishing
Experience Inc.
Extreme Entertainment Group
Falcom Corporation
Fields
Flashpoint Games
Flight-Plan
Focus Home Interactive
Focus Multimedia
Foreign Media Games
Fortyfive
Fox Interactive
From Software
FuRyu
FuRyu Corporation
Fuji
FunSoft
Funbox Media
Funcom
Funsta
G.Rev
GN Software
GOA
GSP
GT Interactive
Gaga
Gainax Network Systems
Gakken
Game Arts
Game Factory
Game Life
GameMill Entertainment
GameTek
Gamebridge
Gamecock
Gameloft
Gathering of Developers
General Entertainment
Genki
Genterprise
Ghostlight
Giga
Giza10
Glams
Global A Entertainment
Global Star
Gotham Games
Graffiti
Grand Prix Games
Graphsim Entertainment
Gremlin Interactive Ltd
Griffin International
Groove Games
GungHo
Gust
HAL Laboratory
HMH Interactive
Hackberry
Hamster Corporation
Happinet
Harmonix Music Systems
Hasbro Interactive
Havas Interactive
Headup Games
Hearty Robin
Hect
Hello Games
Her Interactive
Hip Interactive
Home Entertainment Suppliers
Hudson Entertainment
Hudson Soft
Human Entertainment
HuneX
IE Institute
ITT Family Games
Iceberg Interactive
Idea Factory
Idea Factory International
Ignition Entertainment
Illusion Softworks
Imadio
Image Epoch
Imageworks
Imagic
Imagineer
Imax
Indie Games
Infogrames
Insomniac Games
Interchannel
Interchannel-Holon
Intergrow
Interplay
Interplay Productions
"Interworks Unlimited, Inc."
Inti Creates
Introversion Software
Irem Software Engineering
Ivolgamus
JVC
Jack of All Games
Jaleco
Jester Interactive
JoWood Productions
Jorudan
Just Flight
KID
KSS
Kadokawa Games
Kadokawa Shoten
Kaga Create
Kalypso Media
Kamui
Kando Games
Karin Entertainment
Kemco
Kids Station
King Records
Knowledge Adventure
Koch Media
Kokopeli Digital Studios
Konami Digital Entertainment
Kool Kizz
LEGO Media
LSP Games
Laguna
Legacy Interactive
Level 5
Lexicon Entertainment
Licensed 4U
Lighthouse Interactive
Liquid Games
Little Orbit
Locus
LucasArts
MC2 Entertainment
MLB.com
MTO
MTV Games
Mad Catz
Magical Company
Magix
Majesco Entertainment
Mamba Games
Marvel Entertainment
Marvelous Entertainment
Marvelous Games
Marvelous Interactive
Masque Publishing
Mastertronic
Mastiff
Mattel Interactive
Max Five
Maximum Family Games
Maxis
Media Entertainment
Media Factory
Media Rings
Media Works
MediaQuest
Men-A-Vision
Mentor Interactive
Mercury Games
Merscom LLC
Metro 3D
Michaelsoft
Micro Cabin
Microids
Microprose
Microsoft Game Studios
Midas Interactive Entertainment
Midway Games
Milestone
Milestone S.r.l
Milestone S.r.l.
Minato Station
Mindscape
Mirai Shounen
Misawa
Mitsui
Mojang
Monte Christo Multimedia
Moss
Mud Duck Productions
Mumbo Jumbo
Mycom
Myelin Media
Mystique
NCS
NCSoft
NDA Productions
NEC
NEC Interchannel
Namco Bandai Games
Natsume
Navarre Corp
Naxat Soft
Neko Entertainment
NetRevo
New
New World Computing
NewKidCo
Nexon
Nichibutsu
Nihon Falcom Corporation
Nintendo
Nippon Amuse
Nippon Columbia
Nippon Ichi Software
Nippon Telenet
Nitroplus
Nobilis
Nordcurrent
Nordic Games
NovaLogic
Number None
O-Games
O3 Entertainment
Ocean
Office Create
On Demand
Ongakukan
Origin Systems
Otomate
Oxygen Interactive
P2 Games
PM Studios
PQube
Pacific Century Cyber Works
Pack In Soft
Pack-In-Video
Palcom
Panther Software
Paon
Paon Corporation
Paradox Development
Paradox Interactive
Parker Bros.
Performance Designed Products
Phantagram
Phantom EFX
Phenomedia
Phoenix Games
Piacci
Pinnacle
Pioneer LDC
Play It
PlayV
Playlogic Game Factory
Playmates
Playmore
Plenty
Pony Canyon
PopCap Games
PopTop Software
Popcorn Arcade
Pow
Princess Soft
Prototype
Psygnosis
Quelle
Quest
Quinrose
