,nom_editeur
349,NEC Interchannel
350,Namco Bandai Games
351,Natsume
352,Navarre Corp
353,Naxat Soft
354,Neko Entertainment
355,NetRevo
356,New
357,New World Computing
358,NewKidCo
359,Nexon
360,Nichibutsu
361,Nihon Falcom Corporation
362,Nintendo
363,Nippon Amuse
364,Nippon Columbia
365,Nippon Ichi Software
366,Nippon Telenet
367,Nitroplus
368,Nobilis
369,Nordcurrent
370,Nordic Games
371,NovaLogic
372,Number None
373,O-Games
374,O3 Entertainment
375,Ocean
376,Office Create
377,On Demand
378,Ongakukan
379,Origin Systems
380,Otomate
381,Oxygen Interactive
382,P2 Games
383,PM Studios
384,PQube
385,Pacific Century Cyber Works
386,Pack In Soft
387,Pack-In-Video
388,Palcom
389,Panther Software
390,Paon
391,Paon Corporation
392,Paradox Development
393,Paradox Interactive
394,Parker Bros.
395,Performance Designed Products
396,Phantagram
397,Phantom EFX
398,Phenomedia
399,Phoenix Games
400,Piacci
401,Pinnacle
402,Pioneer LDC
403,Play It
404,PlayV
405,Playlogic Game Factory
406,Playmates
407,Playmore
408,Plenty
409,Pony Canyon
410,PopCap Games
411,PopTop Software
412,Popcorn Arcade
413,Pow
414,Princess Soft
415,Prototype
416,Psygnosis
417,Quelle
418,Quest
419,Quinrose
420,Quintet
421,RED Entertainment
422,RTL
423,Rage Software
424,Rain Games
425,Rebellion
426,Rebellion Developments
427,Red Orb
428,Red Storm Entertainment
429,RedOctane
430,Reef Entertainment
431,Revolution (Japan)
432,Revolution Software
433,Rising Star Games
434,Riverhillsoft
435,Rocket Company
436,Rondomedia
437,Russel
438,SCS Software
439,SCi
440,SNK
441,SNK Playmore
442,SPS
443,SSI
444,Sammy Corporation
445,Saurus
446,Scholastic Inc.
447,Screenlife
448,Sega
449,Seta Corporation
450,Seventh Chord
451,Shogakukan
452,Simon & Schuster Interactive
453,Slightly Mad Studios
454,Slitherine Software
455,Societa
456,Sold Out
457,Sonnet
458,Sony Computer Entertainment
459,Sony Computer Entertainment America
460,Sony Computer Entertainment Europe
461,Sony Music Entertainment
462,Sony Online Entertainment
463,SouthPeak Games
464,Spike
465,Square
466,Square EA
467,Square Enix
468,SquareSoft
469,Stainless Games
470,Starfish
471,Starpath Corp.
472,Sting
473,Storm City Games
474,Strategy First
475,Success
476,Summitsoft
477,Sunflowers
478,Sunrise Interactive
479,Sunsoft
480,Sweets
481,Swing! Entertainment
482,Syscom
483,System 3
484,System 3 Arcade Software
485,System Soft
486,T&E Soft
487,TDK Core
488,TDK Mediactive
489,TGL
490,THQ
491,TOHO
492,TYO
493,Taito
494,Takara
495,Takara Tomy
496,Take-Two Interactive
497,Takuyo
498,TalonSoft
499,Team17 Software
500,TechnoSoft
501,Technos Japan Corporation
502,Tecmo Koei
503,Telegames
504,Telltale Games
505,Telstar
506,Tetris Online
507,The Adventure Company
508,The Learning Company
509,Tigervision
510,Time Warner Interactive
511,Titus
512,Tivola
513,Tommo
514,Tomy Corporation
515,TopWare Interactive
516,Touchstone
517,Tradewest
518,Trion Worlds
519,Tripwire Interactive
520,Tru Blu Entertainment
521,Tryfirst
522,Type-Moon
523,U.S. Gold
524,UEP Systems
525,UFO Interactive
526,UIG Entertainment
527,Ubisoft
528,Ubisoft Annecy
529,Universal Gamex
530,Universal Interactive
531,Unknown
532,Valcon Games
533,ValuSoft
534,Valve
535,Valve Software
536,Vap
537,Vatical Entertainment
538,Vic Tokai
539,Victor Interactive
540,Video System
541,Views
542,Vir2L Studios
543,Virgin Interactive
544,Virtual Play Games
545,Visco
546,Vivendi Games
547,Wanadoo
548,Warashi
549,Wargaming.net
550,Warner Bros. Interactive Entertainment
551,Warp
552,WayForward Technologies
553,Westwood Studios
554,White Park Bay Software
555,Wizard Video Games
556,XS Games
557,Xicat Interactive
558,Xing Entertainment
559,Xplosiv
560,Xseed Games
561,Yacht Club Games
562,Yamasa Entertainment
563,Yeti
564,Yuke's
565,Yumedia
566,Zenrin
567,Zoo Digital Publishing
568,Zoo Games
569,Zushi Games
570,bitComposer Games
571,dramatic create
572,fonfun
573,iWin
574,id Software
575,imageepoch Inc.
576,inXile Entertainment
577,mixi- Inc
578,responDESIGN
